1016	Je,kuna wanaume wenye homoni ya Estrojeni?
1020	Je,jangwa kubwa kabisa bara Afrika ni ipi?
1033	Je,Togo ina idadi ya watu wangapi?
1040	Mlipuko wa Hiroshima ulitokea mwaka gani?
1041	Uturuki iko na idadi ngapi ya watu?
1048	Je,bahari ya Shamu ina ukubwa wa kiasi gani?
1049	Je, bangi ni dawa?
105	Je,Mji mkuu wa Kenya ni upi?
1056	Je,Kenya ina kabila ngapi kwa jumla?
108	Mji mkuu wa Nigeria ni?
1084	Burukenge iko katika spishi gani ya wanyama?
1090	Je mwanamziki Chrisbrown alianza kuimba mwaka upi?
1105	Je,mji mkuu wa Irani ni upi?
1118	Nani mwanzilishi wa kitabu ya rekodi ya guinness?
1126	Je,Emily Ruete alikuwa na watoto?
1138	Bahari kubwa duniani inaitwaje?
1143	Chupong Changprung alizaliwa wapi?
1150	Ugonjwa wa Tutuko  una tiba?
1152	Je,Marianne Koch ana watoto wangapi?
1154	Ukuta wa China ulijengwa mwaka gani?
1170	Je,Kenya ina idadi ya vyama vya kisiasa ngapi mwaka 2019?
1177	Je,Uholanzi iko katika bara gani?
1178	Je,Twiga hubeba uja uzito kwa muda gani?
1179	Mji mkuu wa Hispania ni upi?
1181	Je,mlima Teide ina urefu wa mita ngapi?
119	Je,nani mwanzilishi wa mziki wa hIhop nchini Tanzania?
1193	Kuna aina ngapi ya maua ya Buganivilia?
12	Je,hadithi ya Pinokyo ilitungwa lini?
1204	Je,chombo cha kupima joto mwilini kinaitwa vipi?
122	Kikurdi ni lugha ya wapi?
1221	Wafransisko ni watu wa dini gani?
1233	Je,Christiano Ronaldo alizaliwa mwaka upi?
1249	Je,Safaricom ilianza mwaka upi?
1252	Je, Ellen ana mume?
1259	Derby Museum and Art Gallery ilianzishwa na nani?
1261	Bahari kubwa duniani ina ukubwa gani?
1264	Je,Ndovu hubeba mimba kwa miezi ngapi?
1270	Umeme hupimwa kwa kifaa kipi?
1277	Martin Luther aliandika vitabu vingapi?
1280	Shirika kwa Ukoloni wa Kijerumani lilianzishwa na nani?
1282	Mpira wa kikapu ulianzia nchi gani?
13	Timu ya taifa ya soka ya Brazil imeshinda kombe la dunia mara ngapi?
1313	Geac Computer Corporation ilianzishwa na nani?
1315	Je, klabu ya Manchester United ilianza mwaka upi?
1316	Rais wa kwanza wa Urusi alikuwa nani?
1319	Je, mziki wa hip hop nchini Tanzania ulianza mwaka upi?
1348	Homa ya Bonde la Ufa ina tiba?
136	Je,mji wa Gold Coast inapatikana nchi gani?
1376	Visiwa vya South Georgia vina ukubwa gani?
1377	Jangwa kubwa zaidi duniani ni gani?
1379	Dk. Angela Dorothea Merkel alizaliwa wapi?
138	Mji mkuu wa Hawaii unaitwaje?
1384	Mto mrefu zaidi nchini Misri ni upi?
1387	Je,nani mwanzilishi wa dini ya Katoliki?
1399	Kabila la Wazigula lina idadi ngapi ya watu?
