10163#0	چه واژه هایی از زبان فرانسه به فارسی وارد شده است؟
1056705#0	روستای کردان در چه منطقه آب و هوایی قرار دارد؟
1056946#0	روستای ماسوله در کدام استان قرار دارد؟
1068537#0	کدام شهرهای ایران روی گسل زلزله قرار دارند؟
1114277#0	مقبره نادر شاه در کجا ساخته شده است؟
1114307#0	ساخت سد چه تاثیری در ذخیره‌سازی انرژی دارد؟
112130#0	آرامگاه نادر شاه در کجا قرار دارد؟
1142403#0	درواکنش شیمیایی بین اسید قوی با آب چه تولید می شود؟
117672#0	انواع سیستم عامل های تلفن همراه کدامند؟
1220715#0	مظفرالدین شاه چندمین پادشاه قاجار بود؟
12447#0	ایل جاف در کدام مناطق ساکن هستند؟
1257108#0	در ورزش بوچیا از چه حرکاتی استفاده می شود؟
1268458#0	مثلث برمودا در کجا قرار دارد؟
138113#0	ارگ بم مربوط با چه دوره ای است؟
1408#0	چنگیز خان مغول چند سال حکمرانی کرد؟
141152#0	هگمتانه نام قدیمی کدام شهر است؟
146698#0	بامیه از رسته چه گیاهانی است؟
1482513#0	مهندسی برق چند زیر شاخه دارد؟
1513643#0	امپراتریس تئودورا در چه سالی متولد شد؟
1522253#0	چه اقلیتهای مذهبی در زمان حضرت محمد با اسلام روی آوردند؟
1522350#0	کریستوفر شولز در کجا متولد شد؟
1559236#0	سپیده خداوردی در چند فیلم سینمایی بازی کرده است؟
1562117#0	روستای وردیج در کدام استان قرار دارد؟
1574651#0	روستای افجه در کدام استان قرار دارد؟
1575889#0	زبان کردی در چه مناطقی صحبت می شود؟
1581638#0	آثار گردشگری استان خراسان رضوی کدامند؟
1600606#0	منطقه سردشت در کدام استان قرار دارد؟
1608360#0	روستای وردیج در کدام استان قرار دارد؟
1611152#0	روستای بدالعرض در چه منطقه آب و هوایی قرار دارد؟
162871#0	محمود دولت آبادی یکی از بهترین نویسندگان معاصر ایرانی در کدام شهر متولد شده است؟
164850#0	روستای زریوار در کدام استان قرار دارد؟
164881#0	روستای ایگل در کدام استان قرار دارد؟
1649915#0	هورمونها بر گرایشهای عاطفی  چه تاثیری دارند؟
172665#0	استان سیستان و بلوچستان در چه منطقه آب وهوایی قرار گرفته است؟
17311#0	سفرنامه ناصرخسرو در طی چه سالهایی نوشته شده است؟
173383#0	دانشکدگان علوم دانشگاه تهران در کجا ساخته شده است؟
1790668#0	مجموعه تلویزیونی خانه کاغذی در چند قسمت پخش شد؟
1796234#0	لاک پست از چه گروه جانوران است؟
1843048#0	مدلینگ چقدر درآمد دارد و چگونه می‌توان مدل شد؟
1846675#0	اشعار و مقالات نرمین کمال در چه روزنامه ای به چاپ می رسید؟
184925#0	بازارگانی و تجارت در قرون وسطا چگونه انجام می گرفت؟
1877477#0	زبان برنامه‌نویسی پاسکال از چه اصولی ساخته شده است؟
1881132#0	سیستم‌عامل لینوکس چه مزیتی بر اندروید دارد؟
1885460#0	کاربرد و وظایف سیستم عامل چیست؟
19263#0	چه اماکن توریستی دراستان سیستان و بلوچستان وجود دارد؟
203775#0	نقاش تابلوی شام آخرکیست؟
205703#0	مؤسسه لغت نامه دهخدا در چه سالی گشایش یافت ؟
2077692#0	جلیل محمدقلی‌زاده در کداام روزنامه کار می کرد؟
209682#0	جنگنده های هوایی به چه ویژگیهایی ساخته می شوند؟
2100866#0	معماری سنتی ایران در چه دوره ها به اوج خود رسید؟
2101368#0	ویژگیهای اصل طرد پائولی چیست؟
