1004960#0	किस यंत्र में मापन के समय अधिकतम पावर व्यय होती है?
1006614#0	अल्जीरिया किस मरुस्थल के अंतर्गत स्थित है?
100764#0	च्चतम न्यायालय के न्यायाधीशों की संख्या में वृद्धि करने की शक्ति किसके पास है?
100978#0	जापान का अगले प्रधानमंत्री के रूप में किसे नियुक्त किया गया है?
1012378#0	पेशियों में श्वसन वर्णक कौन होता है?
101442#0	मध्य प्रदेश कितने भागों में विभाजित है?
103353#0	ग्रेट बेरियर रीफ किस देश में है?
1033752#0	कांग्रेस दल का नेता कौन है ?
103522#0	चेन्नई में कितने डिग्री सेल्सियस तापमान है?
1037035#0	मालदीव को मिनिकाय किससे अलग करता है?
1056884#0	साइकिलिंग का खेल परिसर क्या कहलाता है?
10907#0	ट्रिप्टोफैन के जैव संश्लेषण के लिये आवश्यक तत्व कोनसा है?
1093041#0	जनसंख्या के हिसाब से भारत का 7वाँ सबसे बड़ा राज्य कौन सा है?
1093848#0	अरुणाचल प्रदेश की साझी सीमाएँ किन देशों के साथ है?
1105470#0	राष्ट्रीय पर्यावरणीय इंजीनियरी अनुसंधान संस्थान कहाँ स्थित है?
11058#0	कौन संयुक्त राज्य अमेरिका के ४४ वें राष्ट्रपति हैं?
111528#0	बिजली पानी से कैसे बनती है?
1123147#0	क्रिकेट में इस्तेमाल होने वाली गेंद कितने प्रकार की होती है?
1125426#0	कौन सा एक खरपतवारनाशी है?
1129369#0	हरित क्रांति किस वर्ष में आरंभ हुई थी?
1142514#0	आकाश मिसाइल सिस्टम के निर्यात को मंजूरी दे दी है यह किस प्रकार की मिसाइल है?
1148591#0	मनुष्य के शरीर में सबसे महत्वपूर्ण अंग क्या है?
1149555#0	सर्वप्रथम किसने कहा कि, “स्वतंत्रता मेरा जन्मसिद्ध अधिकार है”?
1150487#0	भारत का राष्ट्रगान सबसे पहले कब गाया गया था?
1151412#0	अर्नोल्ड श्वार्ज़नेगर मिस्टर ओलम्पिया किस वर्ष में जीता था?
1157146#0	एक अणुओं का समूह जो आवेश को लेकर चलता है उसे किस आयन के रूप में जाना जाता है?
1160750#0	भारतीय रूपये का प्रतीक चिह्न किसने डिजायन किया था?
1167291#0	भारत में पंचायती राज की अनुशंसा की थी?
1170317#0	किस भारतीय राज्य की दो राजधानियाँ हैं?
1174018#0	1947 में भारत के स्वतंत्र होने के पश्चात तक हरियाणा किस प्रान्त का भाग था?
1178382#0	भारत व पाकिस्तान का जल समझौता किस नदी पर हुआ?
1179431#0	रमजान कितने दिन के लिए होता है?
11820#0	टीपू सुल्तान अंग्रेजों के साथ युद्ध में कब मारे गये थे?
1196812#0	भारत के संपरीक्षा एवं लेखा प्रणालियों का प्रधान कौन होता है?
1231587#0	“फ्रेंड्स” अमेरिकी टेलीविज़न सीरीज के कितने सीजन है?
1232989#0	भारत में द्वितीय अधिकतम जनजातीय आबादी कहाँ है?
1240100#0	क्रिकेट नाम किस प्रसिद्ध ब्रिटिश व्यक्ति ने दिया था?
1262944#0	भारत का सबसे ऊँचा बाँध टिहरी बाँध है और किस नदी पर बना है?
1270408#0	राजा बीरबल की उपाधि किसे दी गई थी?
1272354#0	भारत का गणतंत्र दिवस किस तारीख पर आता है?
1278523#0	किस देश की राष्ट्रपति चुनाव में इमैनुएल मैक्रों को एक बार फिर राष्ट्रपति चुना गया है?
1286330#0	कौन सी कंपनी पूर्ण ठोस ईंधन वाले रॉकेट का सफलतापूर्वक परीक्षण करने वाली पहली निजी कंपनी बन गयी है?
1289278#0	रहनुमाई मजदयासन सभा के संस्थापक कौन थे?
13085#0	सर्वाधिक बोले जाने वाली भाषा कौन-सी है?
1326085#0	मानव ने सबसे पहले किसका प्रयोग आरंभ किया था?
1328536#0	कांग्रेस और मुस्लिम लीग के बीच लखनऊ समझौता किस वर्ष हुआ?
1329429#0	कैसे पानी में घोलने पर यह जिप्सम में परिवर्तित हो जाता है?
1336398#0	गाँव के लोग गेहूं कैसे पीसते है?
1336456#0	सवाना घास के मैदान किस महाद्वीप में है?
1346725#0	शिवाजी द बॉस किसकी फिल्म है?
1351517#0	वनस्पति घी के निर्माण में कौनसी गैस प्रयुक्त होती है?
14145#0	वर्तमान में आयरलैंड में कुल कितने जिले है?
143310#0	महात्मा गांधी को कितनी बार नोबेल पुरस्कार के लिए नामांकित किया?
160641#0	विद्युत् लेपन के लिए सामान्यतः प्रयोग की जाने वाली धातुएँ हैं?
165041#0	विंग्स ऑफ फायर पुस्तक के लेखक कौन है?
171267#0	प्रकाश संश्लेषण क्रिया के दौरान पौधों में co2 को कौन ग्रहण करता है?
1776#0	भारत के राष्ट्रपति पर महाभियोग की विधि किस देश से अपनाई गई है?
179243#0	अमेरिका संविधान में तदर्थ न्यायाधीशों की नियुक्ति का प्रावधान है?
181933#0	राष्ट्रपति यदि इस्तीफा देना चाहे तो किसे सौंपेगा?
182365#0	गलत संयोजन के कारण किसी पम्प मोटर के घूमने की दिशा गलत है। इस दोष को कैसे ज्ञात करेंगे ?
182462#0	महमूद गजनी ने किस प्रसिद्ध मंदिर पर धावा बोला था?
182473#0	मंगल के २ उपग्रह के क्या नाम है?
183449#0	प्रशिद व्यक्तित्व ‘अन्ना राजम मल्होत्रा’ का निधन हुआ है, वह कौन थी?
184321#0	मनुष्य की आँख में किसी वस्तु का प्रतिबिम्ब कहाँ बनता है?
1845#0	वायु परिवहन का शुभारंभ भारत में कब हुआ?
