1002	Minä vuonna Kamppi on rakennettu?
102	Kuka perusti Dallara Automobilin?
1045	Onko Doğu Perinçek ollut vangittuna?
1055	Mikä on kvaliat?
1125	Onko jainalaisten lukutaito selvästi korkeampi kuin Intian muilla kuudella suurimmalla uskonnollisella ryhmällä?
1128	Milloin silmälasit keksittiin?
1159	Mihin Pieter Willem Botha kuoli?
1180	Onko Mount Rushmore -patsaiden takana vuoreen kaivettu huone?
12	Milloin Kiina on perustettu?
1250	Milloin Mihail Gorbatšov syntyi?
1256	Milloin Suomessa naiset saivat äänioikeuden?
1333	Mikä oli Drayson Bowmanin ensimmäinen NHL seura?
1340	Mitä aleutien nimi tarkoittaa?
1343	Mitä tarkoittaa systematisointi?
1355	Mikä on positroni?
1389	Mitä demagogia tarkoittaa?
1401	Missä sijaitsee Sääksmäki?
1424	Mihin saariryhmään Kythera kuuluu?
1427	Minä vuonna frisbeegolf on kehitetty?
1443	Onko nollan mukaanotto paikkamerkinnässä vaikuttanut merkittävästi laskutoimitusten sujuvuuteen?
146	Minkä kaupungin läpi Suomessa menee pohjoisen napapiirin raja?
1461	Kuka oli Jouni Mömmö?
1480	Missä Kevin Spacey on syntynyt?
1514	Milloin Rom Harré on syntynyt?
1522	Milloin Gerald Ford oli Yhdysvaltojen presidenttinä?
1526	Miksi Arto Heikki Merisalo nousi julkisuuteen?
1554	Milloin Suomen sisällisodan vankileirit lakkautettiin virallisesti?
1566	Milloin Suomeen perustettiin ensimmäinen diakonilaitos?
1583	Milloin Rafael Wardi on syntynyt?
1588	Minä vuonna U-vene on rakennettu?
1607	Voiko Suomessa viljellä hamppua?
1635	Onko SingTel singaporelainen yritys?
1638	Onko Jackson Miley Stewartin veli?
1648	Milloin WWE on perustettu?
166	Miten sukupuoli määräytyy ihmisellä?
1662	Mitä disyaani on?
1671	Milloin Johannislundin lasitehtaan yhteydessä toiminut Johannislundin kansakoulu oli toiminnassa?
1682	Minkä muotoisia uudemmat Earthship rakennukset ovat?
1734	Minä vuonna Gregorius XVI kuoli?
1745	Mikä on meriantura?
1797	Kuinka suuri on lähin maankaltainen planeetta?
1805	Mikä on Maailma kylässä -festivaali?
1827	Onko Indira Gandhi Intian ainoa naispääministeri?
185	Milloin oli Skandinavian pronssikausi?
1866	Onko olemassa timanttia kovempia aineita?
1894	Onko Tiibetin ylängöillä ilma ohutta?
1905	Minä vuonna Yhdysvaltain itsenäisyysjulistus hyväksyttiin?
1913	Millä numerolla Valentino Rossi ajaa?
1931	Onko Merkuriuksella ilmakehää?
1941	Milloin käytiin Espanjan sisällissota?
2004	Mihin David Livingstone kuoli?
2038	Minä vuonna markka tuli valuutaksi Suomeen?
2050	Missä joukkueessa Eric Washington pelasi viimeisimpänä ennen Suomeen tuloa?
2053	Milloin Vadimir Putin valittiin presidentiksi ensimmäisen kerran?
2061	Olivatko ihmisten esi-isät ihmisapinoita?
2072	Missä Erasmus Rotterdamilainen kuoli?
2121	Milloin Suomisen perhe sai ensi-iltansa?
217	Milloin Beothukit löydettiin?
2184	Miten magneettikenttä määritellään?
2188	Milloin Jenő Farkas aloitti työnsä Fordilla?
2202	Mikä on korpin mitattu siipienväli?
2210	Kuka kirjoitti teoksen Sota ja Rauha?
2227	Minä vuonna Elizabeth Ruth ”Betty” Grable on syntynyt?
2231	Minä vuonna Fazer perustettiin?
2248	Minä vuonna Paavi Pius XI on syntynyt?
2258	Kuinka laajalle Rooman valtakunta ylsi?
2279	Mistä valmistetaan tuotantomääriltään suurimmat muovilaadut?
228	Onko Hebronin väestöstä valtaosa palestiinalaisia?
230	Pystyykö ihminen tunnistamaan fluorikaasun hajusta?
2322	Kuka hallitsi Mithridates VI jälkeen?
2369	Mitä Vognserup Engen suolöydössä löydettiin?
2377	Mitä geostationaarinen kiertorata tarkoittaa?
2406	Milloin Origenes syntyi?
2411	Missä kaupungissa Resurrection Band on perustettu?
2414	Milloin HMS Mendip rakennettiin?
245	Kuka keksi lasertulostimen?
