10037625#0	Quels sont les coefficients de Fresnel?
10041885#0	Quelles sont les caractéristiques du mouvement néo-dada?
10061830#0	De quoi est responsable l'hémisphère droit du cerveau?
1039797#0	Qui est le fondateur de la géophysique?
10579479#0	Combien y a-t-il d'éléments chimiques au total?
10661819#0	Quel est le plus haut sommet en Azerbaïdjan?
1066615#0	Qui est le pilote automobile de Formule 1 le plus jeune au monde?
1070690#0	Qui est le mathématicien le plus célèbre au monde?
1073447#0	Qui est responsable de la publication des normes ISO/CEI?
10753261#0	Qu’est-ce que c’est un référendum?
10785018#0	Qui est l’auteur de la série télévisée Friend?
10815736#0	Quels sont les bienfaits des vaccins?
10892185#0	Quelles religions pratique-t-on à Hong Kong?
109388#0	Quels types de souris sont utilisés dans les laboratoires?
1094060#0	Quelles sont les méthodes de production de l'électricité?
1097013#0	Qui a été le premier cycliste à avoir remporté le Tour de France?
11070730#0	Quand a été créé le titre du duc de Leuchtenberg?
11146204#0	Quels sont les symboles religieux en islam?
11160547#0	Quel est le degré d’alcool de la Chartreuse?
11208865#0	Où se trouve le royaume de Dyfed?
112209#0	Quels sont les championnats de cyclisme les plus importants?
11233339#0	Quels tribus vivent dans la région Nord-du-Québec?
1128873#0	Qui est le premier ministre du Nouveau Brunswick en 2022?
1129984#0	Quels sont les axiomes en mathématiques les plus importants?
11325001#0	Qui est Paul Cezanne?
11353431#0	Quels types d’ordres existent-ils?
11409185#0	Quels sont les points principaux de droit international?
11487198#0	Comment mesurer l’amplitude?
11582911#0	Quand s’est déroulée la Première Guerre mondiale?
11604805#0	Qui possède l’arme nucléaire?
11644413#0	Quels sont les pays arctiques?
1166396#0	Quel est le climat en Wisconsin?
11723021#0	Quand a été fondée la NFL?
11806555#0	Quels sont les bienfaits de la musique sur le cerveau?
11854231#0	Quelles sont les croyances de jésuites?
11854580#0	Quel est le plus grand pétrolier du monde aujourd’hui?
11879884#0	Quelle est l’orbite de Phobos?
11880099#0	Quel est le nom du premier astéroïde découvert?
11880406#0	Comment sont créés les astéroïdes?
11881175#0	Quelles sont les exigences pour qu'un objet soit classé comme une planète?
11882419#0	Combien de satellites a le Neptune?
11892621#0	Quelle est l'orbite de la Terre?
12027774#0	Quel est le salaire d’un chauffeur?
12060767#0	Combien de branches y a-t-il dans le domaine de l'économie?
12075675#0	Quelle est la philosophie de Kierkegaard?
12233027#0	Comment s’appelle la femme de Pablo Picasso?
1225093#0	Quelle est l'origine du jazz?
12353155#0	Quelles sont les villes les plus peuplées en Nouvelle-Calédonie?
12365764#0	Comment devenir un commissaire?
12545#0	Qui est l'architecte des pyramides en Égypte?
1257411#0	Quel est le sport le plus joué aux États-Unis?
12582664#0	Quelle est la différence entre un archevêque et un évêque?
1260128#0	Quand les premiers Oscars ont-ils eu lieu?
1262567#0	Qu’est-ce qu’on fait avec un planeur?
1263076#0	Qui est le chef du Parti Social Chrétien en Belgique?
12633900#0	Que signifie un dolmen?
12672384#0	Quel est le meilleur matériel pour la construction d’un bateau?
12684485#0	Combien de membres y a-t-il dans le cabinet britannique?
12866420#0	Quel est le sport le plus célèbre en Angleterre?
12885521#0	Quand a été créé le mouvement des droits de femmes?
12906307#0	Quelle est l'œuvre de Goya la plus célèbre au monde?
13042387#0	Quelle est la patrie du reggae?
13058301#0	Où se trouve le fleuve Orénoque?
13079328#0	Quels sont les types de journalisme?
13098432#0	Quel type de gaz est l'hélium?
131049#0	Quand planter un poireau perpétuel?
13132895#0	Qui est Marie Curie?
13165035#0	Quel rôle joue la musique folk en choisissant l'identité nationale?
13191263#0	Comment devenir un astronome?
13257033#0	Qui est Julia Roberts?
13294798#0	Quand a été fondée la Formule 1?
13348462#0	Quelle est la plus ancienne université de Belgique?
13412901#0	Combien d'ethnies existent-elles a New York?
13454565#0	Quelles sont les différences principales entre un SUV et un camion de type pick-up?
13457539#0	Quelles sont les caractéristiques principales des langues polynésiennes?
13470247#0	Pourquoi Palermo est célèbre?
13534967#0	Quelle est la fête nationale en France?
13537682#0	Comment se forme une galaxie?
13587734#0	Quel est le Code Criminel du Canada?
13702844#0	Qui est Achille dans la guerre de Troie?
1373083#0	Qui étaient les premiers habitants d’Afrique?
1373636#0	Comment s’appelle l' hymne national de France?
13759773#0	Qui a introduit le terme de sexisme?
13843#0	Qui est Stromae?
13910718#0	Où est situé Chūgoku au Japon?
13964969#0	Quel était le but du théâtre en Grèce ancienne?
1396750#0	Que signifie un apartheid?
139842#0	Quel est le travail du système nerveux périphérique?
14039081#0	Quels sont les différents crimes de guerre?
14075271#0	Quelles sont les raisons du conflit Palestine-Israël?
14090651#0	Quelle est la participation d’Australie dans la Première Guerre mondiale?
1410164#0	Qui est le tueur le plus connu au monde?
14120795#0	Quel est le lac de Genève?
14208644#0	Quelles sont les théories importantes dans les œuvres de Jung?
14237135#0	Pourquoi les pensionnats ont-ils été créés?
14251120#0	Quel est le goût du saké?
14315251#0	Quel est le plat italien le plus famous au monde?
14378451#0	Quand a été fondée Amnesty International?
14386443#0	Comment obtenir un permis pour conduire un yacht?
14397287#0	Quelles sont les heures de la Bourse de Tokyo?
14397868#0	Quel est le travail d’un avocat?
14433488#0	Quand a été construite l'université Oxford?
14486344#0	Quelle est la structure d’un abbatiale?
14528055#0	Pourquoi New York est si célèbre?
14554707#0	Combien d’enfants a Donald Trump?
14648681#0	Quelles sont les raisons de la guerre en Ukraine en 2022?
14821753#0	Qui est Zelenskyy?
1563567#0	Quand a été la première croisade?
15646#0	Quelles sont les branches de la chimie?
1610779#0	Quel type d’instrument est le clavier?
164380#0	Qui étaient les Mongols?
1711267#0	Quelle est la fonction de la furcula?
1716258#0	Quena a été établi Johannesburg comme une ville moderne?
1729055#0	Quels sont les pays de la mer Méditerranée?
175429#0	Comment devenir un bourgeois?
175780#0	Pourquoi Pythagore est important?
1886349#0	Quelles sont les formes géométriques?
1890654#0	Pourquoi est-ce qu'on peut construire un ecovillage?
1898338#0	Quelles sont les causes de la démence?
21180#0	Quelle est la morphologie du moyen français?
213692#0	Quelles sont les religions en Chine en 2022?
215723#0	Qui possède TF1?
219437#0	Pourquoi est-ce que les dinosaures ont disparu?
221408#0	Que examine la morphologie?
2294072#0	Quelles sont les règles d’assurance au Canada?
2461147#0	Ou est fondé le groupe The Rolling Stones?
2482214#0	Quelles boîtes de nuit sont les plus populaires à Hong Kong?
25575#0	Comment sont réglées les écoles privées en France?
256560#0	Quelles sont les villes les plus peuplées dans la région Bretagne?
257540#0	Qui est Ringo Starr?
2713944#0	Qui est le prophète le plus connu en Judaïsme?
2778578#0	Quels sont les meilleurs monuments à voir à Athènes?
2805109#0	Quels pays participent aux Nations unies?
280570#0	Qui était Carrie Fisher?
2824701#0	Qui est Michael Jackson?
2921614#0	Quels outils sont utilisés en télécommunication?
2962407#0	Quelle est la différence entre la mécanique classique et quantique?
2964377#0	Combien de constellation y a-t-il dans l’univers?
3134859#0	Qui a écrit la chanson Bohemian Rhapsody?
3136744#0	Quelles sont les universités les plus reconnues en France?
3148630#0	Comment devenir un donneur de sperme?
3180612#0	Qui étaient les Trois Royaumes?
