1002	berapakah luas Sulawesi Selatan ?
1006	Apa yang dimaksud dengan Artefak ?
1032	Apa film pertama yang disutradarai Hayao Miyazaki?
1057	Apa nama gunung tertinggi di Jepang ?
1064	Kapan Naskah Wangsakerta ditulis?
1076	Siapakah Kaisar Romawi Timur pertama ?
1084	Apakah Hirohito masih hidup?
1124	apakah Indonesia negara Islam terbesar di dunia?
1128	Dari mana asal olahraga sumo ?
1161	Apa itu sinar gamma?
1167	berapakah jenis kura-kura yang telah ditemukan?
1168	Siapa raja pertama Kerajaan Hongaria?
1204	Apa nama lembah yang terkenal di Bukittiinggi ?
1223	erapakah gunung api yang masih aktif di Indonesia?
1232	Apakah yang dirayakan dalam Pesta Lomban?
1236	Kapan PlayStation pertama kali diperkenalkan di dunia?
1239	Apakah smartphone adalah telepon genggam?
1259	Dimanakah letak Provinsi Gallaecia?
1274	dimanakah Napoleon meninggal?
1278	Apa nama ikan paus terbesar di dunia ?
128	kapankah agama kristen muncul pertama kali?
131	Kapankah komputer pertama kali masuk ke Indonesia ?
1322	Apa maksud kata shogun?
1324	kapankah Alkitab pertama kali datang ke Indonesia?
1335	kapankah republik kongo merdeka?
1340	Siapa yang menciptakan wiracarita Mahabharata?
1342	Dimana kantor pusat perusahaan IBM?
1380	dari partai apakah Prof. Dr. Ir. Fadel Muhammad Al-Haddar?
1402	siapakah pendiri Animonsta Studios?
1410	Kapan hari kemerdekaan Republik Albania?
1412	Apakah judul film suara pertama?
1414	berapakah luas kota Berlin ?
1420	apakah Ipad adalah salah satu Pocket PC Phone?
1450	Kapan Jagatara Oharu lahir?
1455	apakah penyebab kematian Sokrates ?
150	Siapa pendiri Animonsta Studios?
1505	dimanakah Piala FA 2017–2018 berlangsung?
1513	Apa isi Etika Nikomakea?
1545	Apa yang dimaksud dengan genetik ?
156	apakah nama ibukota kuba?
1561	berapakah jumlah saraf pada otak manusia?
1568	Apa itu ritual Ekaristi?
1570	Apakah yang dimaksud dengan Revolusi ?
1605	Kapan Komisi Pemberantasan Korupsi dibentuk ?
1612	abad berapakah Kristen muncul pertama kali?
1625	Kapan Koes Plus dibentuk ?
1680	Siapakah yang menang dalam Pertempuran Surabaya?
1690	Apakah peran suami dalam keluarga?
1693	apakah yang dimaksud dengan fisika ?
170	siapakah rasul pertama menurut islam?
1747	Pada abad ke berapa lubang hitam ditemukan?
1752	kapankah presiden Soeharto mendirikan Kabinetnya pertama kali?
176	Dimana letak geografis Provinsi Bali?
178	Siapakah watak istri Yudistira alias Dharmawangsa?
1793	Apa yang dimaksud dengan ATP?
1810	siapakah kepala sekolah hogwarts?
1839	siapakah penerus Gaius Julius Caesar Augustus?
1858	Berapa luas Kabupaten Bangka Selatan?
1862	siapakah orang tua Nabi Muhammad s.a.w?
19	Apakah karya tulis Irma Hardisurya yang pertama?
1905	Kapan Australia diperingati di Selandia Baru?
1909	Kapan Kaisar Daoguang lahir?
1910	Apa itu kalender Hijriyah?
1928	Berapa jumlah planet di dalam tatasurya?
1935	Dimana Seminari Garum didirikan?
1998	Berapa luas kota Luksemburg?
2049	Apa itu konsumsi?
2059	Apa mayoritas agama yang dianut oleh masyarakat Myanmar ?
2101	Kapan Golda Meir meninggal?
2102	Apakah kepanjangan dari DNA?
2105	Ada berapakah surah dalam Al-Quran ?
2117	Apakah Jepara menghasilkan kayu jati?
2119	Apakah di Singapura dibolehkan menjual permen karet?
2120	Apa yang dimaksude dengan wiracarita ?
2136	Apa fungsi Video Graphics Array?
2154	Apa yang menyebabkan terjadinya pemberontakan petani pada akhir Dinasti Sui?
2161	Berapa lama jarak tempuh penerbangan Jakarta-Raja Ampat ?
2189	apa yang dimaksud dengan teologi?
22	Kapan handphone pertama diciptakan ?
2231	apakah yang dimaksud dengan hidrogen?
2250	Apakah nama kota terbesar di China ?
2256	Siapa yang menciptakan Tabel periodik?
2260	Berapa tinggi gunung Mauna Loa?
2267	Dimana letak Sulawesi Selatan secara geografis?
2308	apa yang dimaksud dengan kelenjar?
2327	berapakah luas Mesir?
2329	Apakah slogan sampo Sunsilk?
2781	Kapan Velvet Revolver hard rock didirikan?
2798	kapankah agama Buddha diturunkan di bumi?
2815	apakah mata uang yang digunakan di islandia?
2827	Kapan Perang Boshin dimulai ?
2842	Siapa sutradara film The Final Destination?
2843	Apakah Albert Einstein‎ filsuf berasal dari Jerman?
2847	Kapan NKCP dibentuk ?
2866	Apakah makanan bisa tengik sebelum tanggal kedaluarsa?
2871	apakah Tuanku Imam Bonjol mempunyai anak?
2886	Apa penyebab terjadinya Revolusi Anyelir?
293	Tentang apakah kasus Van Gend en Loos v Nederlandse Administratie der Belastingen Case 26/62?
2946	Apa itu genus Allium?
2954	Kapan Tite Kubo mengarang manga Bleach?
2965	Berapa luas wilayah Candi Cangkuang?
3	Dimana James Hepburn meninggal?
3005	dimanakah letak Afganistan ?
3038	apakah mata uang di Republik Rakyat Tiongkok?
3046	Apa itu transistor?
3055	Ada berapakah pulau di Kepulauan Bangka Belitung?
309	apakah ibukota dari Kalimantan Selatan?
3104	Siapakah pengembang permainan video Black Ops II?
3119	apakah ibukota  Korea Utara?
316	Apakah bilangan genap?
3161	Siapa yang menciptakan kalender Gregorian?
3182	Siapakah presiden Finlandia yang pertama?
3191	tahun berapakah kota Palopo resmi didirikan?
3204	apakah Genghis Khan berasal dari Kekaisaran Mongol?
3214	Berapa lama perang dingin berlangsung?
3217	Siapa pemimpin pertama Dinasti Qin?
3223	Apa penyebab utama runtuhnya kekaisaran Bizantium ?
3227	Siapakah tokoh utama dalam Dragon Ball ?
3258	Kapan filem Ketika Cinta Bertasbih pertama kali tayang?
3276	siapakah yang menciptakan satuan panjang Tahun cahaya?
3296	Kapan Kesultanan Utsmaniyah berdiri ?
3315	kapankah Perang Soviet–Afganistan dimulai?
3358	Kapan zaman modern dimulai ?
3366	Kapan Donald Trump lahir ?
3415	Dimana Ishikawa Goemon lahir?
3421	Apa cara mengobati usus buntu?
3422	Kapan Margrethe Alexandrine Þórhildur Ingrid  lahir ?
3428	Kapan Yoris Sebastian lahir?
3452	Siapakah Ki Tjokrowasito?
3535	Siapa yang mengembangkan windows ?
3536	Dimanakah posisi seorang penyerang dalam sepak bola ?
3539	Apa ibukota Belgia?
3555	Apa itu Mutasi titik?
3558	Siapakah yang dimaksud dengan Uskup?
3565	Kapan ponsel BlackBerry pertama kali dipasarkan?
3577	Berapa panjang sungai Bengawan Solo?
3578	siapakah pencipta anime Gundam?
3597	dari manakah Makhluk mitologis bernama kuntilanak berasal?
3609	berapakah sekuel Harry Potter ?
3628	Siapa pemahat Patung Liberty?
3651	apakah nama mata uang Amerika Serikat?
3679	Apakah pekerjaan pertama Charles-Camille Saint-Saëns?
3684	Berapa jumlah huruf pada alfabet Latin?
3690	Kapan ilmu anatomi ditemukan ?
3695	Siapa yang memproduksi BTR-90 pertama kali?
3696	Apa warna bendera India ?
3708	Siapakah Ibnu Sina?
3728	Apa nama video game pertama di dunia ?
3731	Berapa luas Kabupaten Klungkung?
3753	siapakah pencipta Senapan mesin?
3766	Apa itu gingivitis?
3767	apakah yang di maksud dengan atom?
3787	Kapan Dr. Moewardi lulus dari STOVIA?
3804	berapakah luas Uni Soviet?
3818	Apakah ibu kota Tanzania?
3830	Berapa lama masa pemerintahan Kekaisaran Mali?
3843	Apa nama Ibukota negara Malaysia ?
389	Apa pengertian ilmu Astronomi ?
3901	Apa tujuan Kongres Partai Buruh Korea ke-6?
3939	Apakah yang dimaksud dengan proses fermentasi?
3942	Dimana Republik Demokratik Azerbaijan didirikan?
3984	kapankah  Alamat IP pertama kali diperkenalkan pada komputer?
4015	Apakah unsur yang digunakan dalam reaksi fisi nuklir?
4046	Siapakah Yesus kristus?
4059	Kapan Joko Widodo menjabat menjadi presiden ?
4078	Berapa lama Margrethe Alexandrine Þórhildur Ingrid  menjabat menjadi Ratu Denmark ?
409	Kapan Kisah Aneh Liaozhai diterbitkan?
4100	Siapa pendiri Astra International?
4137	Dimanakah Hitler lahir ?
4141	apakah bilangan imajiner?
4145	Kapan tabel periodik pertama dipublikasikan?
4151	Kapan Yasser Arafat meninggal?
4168	Kapan atom ditemukan ?
4171	Di manakah Pembangkit Listrik Nuklir Obninsk terletak?
4180	Apakah menggunakan bra saat tidur itu baik?
4198	Berapa luas Kabupaten Kepulauan Meranti?
4203	Kapan Tokugawa Ieyasu lahir?
4217	Berapa luas Republik Ghana?
429	Apa itu biokimia?
4299	berapakah luas mesir?
4307	Kapan Ruby Sakae Hirose lahir?
4324	Berapa lama Kerusuhan Poso terjadi?
4332	berapakah luas Jepang ?
4344	Apakah Hindu mempercayai Kehidupan setelah kematian?
4359	Apa pengertian dari IUCN ?
4381	Kapan Salim Kancil meninggal?
4393	Dinasti apakah yang terlama di Cina?
4481	Berapa luas Republik Bosnia?
4489	dimanakah letak Sankt-Peterburg?
450	Pada tahun berapa presiden Soeharto dilengserkan ?
4500	Dimana sungai Bengawan Solo terletak?
4512	Apa tujuan Istana Diokletianus didirikan?
4516	Apakah masjid terbesar di Jakarta?
4593	apakah nama ibukota Korea Selatan ?
