10	Когда Анна Павлова впервые исполнила партию в балете "Лебединое озеро"?
1003	Когда родился Джордж Лукас?
1026	Как долго снимался «Тита́ник»?
1033	Кем была признана Доне́цкая Наро́дная Респу́блика на 2019 год?
1070	Сколько раз «Бо́стон Се́лтикс» был чемпионом НБА?
108	Куда преземлился «Аполло́н-15»?
1117	Опасны ли пестициды для здоровья человека?
1138	Когда появился английский язык?
115	Когда был сооружен Переко́пский вал?
1216	Какое покрытие на турнире Уимблдон?
1227	Какой город был войсковым штабом Куба́нских казаков?
1283	Сколько провинций в Китае?
1288	Когда прекратила существование Антанта?
1289	Как зовут главного героя в фильме «Большо́й Лебо́вски»?
1303	В каком классе в школах России начинают изучение математики?
1332	Шииты и сунниты конфликтуют между собой по данным на март 2019?
1364	Откуда начинается Трансполя́рная магистра́ль?
1384	Торгует ли группировка Mara Salvatrucha людьми?
1398	Какая территория деревни Новое Климово?
1400	Кто главный герой Clannad?
1409	Кто стал победителем реалити-шоу "За стеклом" в России?
1418	Сколько человек погибло в Землетрясении в Кентербери 4 сентября 2010 года?
143	Кто является автором манги «Блич»?
1469	Сколько человек участвовало в Иже́вско-Во́ткинском восста́нии?
148	Когда началась Вели́кая Оте́чественная война́?
1502	Какой король отрекся от престола в результате Революции 1848 года во Франции?
1530	Собо́р Покрова́ Пресвято́й Богоро́дицы, что на Рву входит в наследие ЮНЕСКО?
1535	В какой стране исламского мира женщины получили право голосовать первыми?
1551	Когда появился реслинг в России?
1558	Какая высота самой высокой горы Памира?
1590	Кто убил Алекса́ндра II Николаевича?
1608	Когда была выпущена «Rurouni Kenshin»?
1611	Как называется самый длинный разводной мост Санкт-Петербурга?
1622	В каком возрасте Наполеон Бонапарт пришел к власти?
1657	Кто был автором гимна Аргентины?
1663	Был Антуан-Луи-Клод Дестют, граф де Траси женат?
1664	Когда Светла́на Ю́рьевна Слепцо́ва начала заниматься биатлоном?
1672	Кто являлся продюсером группы «ВИА Гра» на момент ее создания?
1693	Было ли прочитано завещание Ленина после его смерти?
1711	На какой реке расположен Тольятти?
1736	В какую кадетскую школу ходил Вальтер Ште́ннес?
