1009493#0	中国俄罗斯族有多少人？
1017383#0	第一节金鹰奖在哪里举办？
1022851#0	联合国安理会常任理事国有哪些？
1034177#0	阿塞拜疆属于什么气候类型？
1042661#0	埃及有哪些民族？
1045502#0	数学有哪些基础运算公式？
1055668#0	美国2010年销量最高的小说是哪部？
1059425#0	西藏总人口多少？
10598#0	美国有哪些流行音乐派别？
1065585#0	上海有哪些剧院？
1065971#0	北宋时的开国皇帝是谁？
1086423#0	有哪些有关卧底的电影？
1097987#0	四川地形有什么特征？
1099470#0	动物有哪些繁衍活动？
1118896#0	香港大学的现任校长是谁？
1148922#0	Corsair旗下有哪些产品？
1169736#0	亚欧大陆面积是多少？
1171948#0	美国总统富兰克林有哪些成就？
1178850#0	中国有哪些证券交易所？
121445#0	台湾有哪些少数民族？
121624#0	台湾有哪些宗教？
1238216#0	中国最高人民法院的地址是哪里？
1260240#0	台湾有多少条铁路线路？
1261599#0	马来西亚位于哪一大洲？
1266978#0	英格兰属于哪一气候类型？
1269860#0	法兰西岛面积多大？
1292280#0	俄罗斯有多少军队？
1320527#0	马其顿在哪一大洲？
138180#0	细胞是如何进行分裂的？
1415646#0	中国国家博物馆有多少藏品？
142510#0	圣经启示录中四匹马代表什么？
1448817#0	福建省有哪些方言？
1449953#0	中国的铁路线有哪些？
1456958#0	隋朝修建了哪些运河？
1473972#0	珠海市人均GDP多少？
1478686#0	日本幕府有哪些组织形式？
1488244#0	细胞有哪些代谢方式？
150479#0	大陆电话号码有几位？
1533302#0	马来西亚有哪些旅游景点？
1574360#0	上海交通大学在中国大学中排名多少？
1582015#0	荷兰有哪些相邻国家？
1604249#0	明朝的开国皇帝是谁？
1607724#0	耶稣哪一年逝世？
1645657#0	行星探测经历了哪些环节？
1653677#0	香港有哪些高山？
1655317#0	图尔面积多大？
1661746#0	南苏丹面积多大？
1666036#0	中国发射的第一枚火箭是什么？
1670663#0	现任山东省省长是谁？
1719936#0	二战是什么时候开始的？
1755730#0	中国有哪些围棋名人？
1793396#0	集英社有哪些漫画作品？
181442#0	滇缅公路哪一年修建完成？
1828281#0	·葡萄牙的首都是哪里？
1849393#0	美国NBA联赛哪一年创立？
188245#0	日本连载时间最长的漫画是？
188983#0	谁发明的蒸汽机？
199534#0	英国皇家成员有谁？
202102#0	党的中央委员会每届任期多久？
217818#0	白俄罗斯有多少球队？
218961#0	马其顿语的使用者有多少？
225339#0	楷书有哪些分类？
242093#0	《春秋谷梁传》作者是谁？
256817#0	天津有哪些银行？
276681#0	有哪些足球杂志？
276852#0	香港有哪些漫改动漫？
278831#0	明代有哪些文学家？
27939#0	集合有哪些分类？
2794016#0	四川省有哪些大学？
2829631#0	英格兰足球联赛多久举办一次？
284267#0	日本平安时代领导者是谁？
2861002#0	中国铁路局有多少员工？
2876856#0	音乐剧有哪些代表人物？
291771#0	香港有哪些慈善展会？
2929703#0	正常人的心跳速度是多少？
2942377#0	南沙群岛面积多大？
2959823#0	台湾有哪些城市？
2993422#0	司马懿的父亲是谁？
3038409#0	世界四大宗教是哪些？
3044990#0	武汉有哪些著名小吃？
3068772#0	日本现任首相是谁？
3076803#0	美国面积最小的州是哪里？
3106611#0	法国现任首相是谁？
3118436#0	法国最大的市镇位于哪里？
316047#0	台湾客流量最大的夜市在哪里？
3168483#0	香山在北京哪一区？
3185262#0	春秋时期有哪些思想学派？
3227351#0	亚马逊的总裁是谁？
323473#0	阿尔巴尼亚纬度多少？
327848#0	南北战争的起始时间是什么时候？
3291910#0	巴拿马运河全长多少？
3362581#0	黄帝的妻子叫什么？
338874#0	lambda 演算的发明者是谁？
3412909#0	基督教的创始人是谁？
3449445#0	圣诞节有哪些习俗？
3479286#0	巴基斯坦的首都位于哪里？
3517356#0	旧金山市位于美国哪一个州？
